ID,QC_LEVEL,TIME_EVENT,COUNTRY,STATE,PLACE,LATITUDE,LONGITUDE,PLACE_ACCURACY,TYPE_EVENT,MAX_HAIL_DIAM
16594,QC1,23/07/2009 16:15,AT,Tirol,Kirchbichl,47.517,12.083,3KM,HAIL,8
16593,QC1,23/07/2009 16:15,AT,Tirol,Langkampfen,47.551,12.093,3KM,HAIL,8
16597,QC1,23/07/2009 16:18,AT,Tirol,Schwoich,47.55,12.133,3KM,HAIL,8
7267,QC1,23/07/2009 18:11,AT,Tirol,Kufstein,47.583,12.167,5KM,HAIL,6
7268,QC0+,23/07/2009 18:15,AT,,Sankt Johann,47.52,12.43,,HAIL,6
8549,QC1,23/07/2009 18:30,AT,Salzburg,Lofer,47.583,12.683,1KM,HAIL,8
16598,QC1,23/07/2009 18:30,AT,Salzburg,Sankt Martin bei Lofer,47.567,12.706,3KM,HAIL,8
22039,QC1,23/07/2009 17:43,AT,Salzburg,Sankt Georgen bei Salzburg,47.983,12.883,3KM,HAIL,0
22037,QC1,23/07/2009 17:45,AT,Salzburg,Bürmoos,47.985,12.925,3KM,HAIL,0
22035,QC1,23/07/2009 17:45,AT,Salzburg,Lamprechtshausen,47.993,12.953,3KM,HAIL,0
22036,QC1,23/07/2009 17:47,AT,Salzburg,Weidenthal bei Lamprechtshausen,48.009,12.995,1KM,HAIL,5
16600,QC1,23/07/2009 17:47,AT,Salzburg,Nußdorf am Haunsberg,47.959,13.009,3KM,HAIL,5
22038,QC1,23/07/2009 17:47,AT,Salzburg,Dorfbeuern,48.02,13.017,3KM,HAIL,0
16599,QC1,23/07/2009 17:47,AT,Salzburg,Michaelbeuern,48.019,13.028,3KM,HAIL,5
7273,QC1,23/07/2009 17:55,AT,Oberösterreich,Feldkirchen bei Mattighofen,48.067,13.05,3KM,HAIL,6
7263,QC1,23/07/2009 17:49,AT,Salzburg,Berndorf bei Salzburg,47.983,13.067,5KM,HAIL,7
17340,QC1,23/07/2009 17:55,AT,Oberösterreich,Region Flachgau and Innviertel,48.03,13.1,50KM,HAIL,0
7271,QC1,23/07/2009 17:58,AT,Oberösterreich,Munderfing,48.067,13.183,3KM,HAIL,10
7272,QC1,23/07/2009 18:08,AT,Oberösterreich,Frankenburg,48.068,13.491,3KM,HAIL,6
7269,QC0+,23/07/2009 17:30,AT,,Lichtenau,48.483,15.383,,HAIL,7
7264,QC0+,23/07/2009 20:15,AT,Wien,Wien,48.208,16.372,,HAIL,2
22040,QC1,23/07/2009 20:20,AT,Wien,Wien-Nord,48.265,16.39,10KM,HAIL,4
